2024-07-09T21:27:46.920+07:00Z&2203;v|83,25,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|83,25,0,0,0,0.00,"}
2024-07-09T21:32:52.427+07:00Z&2203;v|83,25,20,26,33,0.00,"};
2024-07-09T21:32:52.438+07:00Z&2203;v|83,25,20,26,33,0.00,"};&{"id": "c1151e2a","data": "ht120v|83,25,20,26,33,0.00,"}
2024-07-09T21:37:57.950+07:00Z&2203;v|83,25,20,26,34,0.00,"};
2024-07-09T21:37:57.960+07:00Z&2203;v|83,25,20,26,34,0.00,"};&{"id": "c1151e2a","data": "ht120v|83,25,20,26,34,0.00,"}
2024-07-09T21:43:03.455+07:00Z&2203;v|83,25,0,0,0,0.00,"};
2024-07-09T21:43:03.470+07:00Z&2203;v|83,25,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|83,25,0,0,0,0.00,"}
2024-07-09T21:48:08.973+07:00Z&2203;v|83,25,21,28,35,0.00,"};
2024-07-09T21:48:08.984+07:00Z&2203;v|83,25,21,28,35,0.00,"};&{"id": "c1151e2a","data": "ht120v|83,25,21,28,35,0.00,"}
2024-07-09T21:53:14.460+07:00Z&2203;v|83,25,21,28,36,0.00,"};
2024-07-09T21:53:14.477+07:00Z&2203;v|83,25,21,28,36,0.00,"};&{"id": "c1151e2a","data": "ht120v|83,25,21,28,36,0.00,"}
2024-07-09T21:58:19.943+07:00Z&2203;v|83,25,0,0,0,0.00,"};
2024-07-09T21:58:19.952+07:00Z&2203;v|83,25,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|83,25,0,0,0,0.00,"}
2024-07-09T22:03:25.458+07:00Z&2203;v|84,25,23,30,38,0.00,"};
2024-07-09T22:03:25.468+07:00Z&2203;v|84,25,23,30,38,0.00,"};&{"id": "c1151e2a","data": "ht120v|84,25,23,30,38,0.00,"}
2024-07-09T22:08:30.959+07:00Z&2203;v|84,25,0,0,0,0.00,"};
2024-07-09T22:08:30.970+07:00Z&2203;v|84,25,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|84,25,0,0,0,0.00,"}
2024-07-09T22:13:36.469+07:00Z&2203;v|84,24,18,25,31,0.00,"};
2024-07-09T22:13:36.481+07:00Z&2203;v|84,24,18,25,31,0.00,"};&{"id": "c1151e2a","data": "ht120v|84,24,18,25,31,0.00,"}
2024-07-09T22:18:41.975+07:00Z&2203;v|84,25,18,24,30,0.00,"};
2024-07-09T22:18:41.990+07:00Z&2203;v|84,25,18,24,30,0.00,"};&{"id": "c1151e2a","data": "ht120v|84,25,18,24,30,0.00,"}
2024-07-09T22:23:47.479+07:00Z&2203;v|84,25,0,0,0,0.00,"};
2024-07-09T22:23:47.491+07:00Z&2203;v|84,25,0,0,0,0.00,"};&{"id": "c1151e2a","data": "ht120v|84,25,0,0,0,0.00,"}
2024-07-09T22:28:52.989+07:00Z&2203;v|85,24,18,24,32,0.00,"};
