timestamp;PM_1.0;PM_2.5;PM_10;PM_100;temp;humidity;arah_angin;kecepatan_angin
7/25/2023, 08:14:19;;;;;25;75;;
7/25/2023, 08:14:23;;;;;25;75;;
7/25/2023, 08:14:27;;;;;25;75;;
7/25/2023, 08:14:31;;;;;25;75;;
7/25/2023, 08:14:35;;;;;25;75;;
7/25/2023, 08:14:39;;;;;25;75;;
7/25/2023, 08:14:42;;;;;25;75;;
7/25/2023, 08:14:46;;;;;25;75;;
7/25/2023, 08:14:50;;;;;25;75;;
7/25/2023, 08:14:54;;;;;25;75;;
7/25/2023, 08:14:58;;;;;25;75;;
7/25/2023, 08:15:02;;;;;25;75;;
7/25/2023, 08:15:05;;;;;25;75;;
7/25/2023, 08:15:09;;;;;25;75;;
7/25/2023, 08:15:13;;;;;25;75;;
7/25/2023, 08:15:17;;;;;25;75;;
7/25/2023, 08:15:21;;;;;25;75;;
7/25/2023, 08:15:25;;;;;25;75;;
7/25/2023, 08:15:28;;;;;25;75;;
7/25/2023, 08:15:32;;;;;25;75;;
7/25/2023, 08:15:36;;;;;25;75;;
7/25/2023, 08:15:40;;;;;25;75;;
7/25/2023, 08:15:44;;;;;25;75;;
7/25/2023, 08:15:48;;;;;25;75;;
7/25/2023, 08:15:51;;;;;25;75;;
7/25/2023, 08:15:55;;;;;25;75;;
7/25/2023, 08:15:59;;;;;25;76;;
7/25/2023, 08:16:03;;;;;25;75;;
7/25/2023, 08:16:07;;;;;25;75;;
7/25/2023, 08:16:10;;;;;25;75;;
7/25/2023, 08:16:14;;;;;25;76;;
7/25/2023, 08:16:18;;;;;25;76;;
7/25/2023, 08:16:22;;;;;25;76;;
7/25/2023, 08:16:26;;;;;25;76;;
7/25/2023, 08:16:30;;;;;25;76;;
7/25/2023, 08:16:34;;;;;25;76;;
7/25/2023, 08:16:37;;;;;25;76;;
