2023-03-05T21:42:49.356077,{"id": "bd950176","data": "va|9116.00"}
2023-03-05T21:42:55.475908,{"id": "bd950176","data": "va|9116.00"}
2023-03-05T21:43:01.595631,{"id": "bd950176","data": "va|8108.00"}
2023-03-05T21:43:07.715420,{"id": "bd950176","data": "va|8110.00"}
2023-03-05T21:43:13.835256,{"id": "bd950176","data": "va|9116.00"}
2023-03-05T21:43:19.954980,{"id": "bd950176","data": "va|9117.00"}
2023-03-05T21:43:26.073776,{"id": "bd950176","data": "va|9118.00"}
2023-03-05T21:43:32.193561,{"id": "bd950176","data": "va|9118.00"}
2023-03-05T21:43:38.312338,{"id": "bd950176","data": "va|9118.00"}
2023-03-05T21:44:27.266580,{"gateway_timestamp": "2023-03-05T21:44:27.266580", "device": {"id": "bd950176", "data": "va|8112.00"}}
2023-03-05T21:44:33.386278,{"gateway_timestamp": "2023-03-05T21:44:33.386278", "device": {"id": "bd950176", "data": "va|9117.00"}}
2023-03-05T21:44:39.505130,{"gateway_timestamp": "2023-03-05T21:44:39.505130", "device": {"id": "bd950176", "data": "va|8111.00"}}
2023-03-05T21:44:45.624902,{"gateway_timestamp": "2023-03-05T21:44:45.624902", "device": {"id": "bd950176", "data": "va|8107.00"}}
2023-03-05T21:44:51.743605,{"gateway_timestamp": "2023-03-05T21:44:51.743605", "device": {"id": "bd950176", "data": "va|8113.00"}}
2023-03-05T21:44:57.863406,{"gateway_timestamp": "2023-03-05T21:44:57.863406", "device": {"id": "bd950176", "data": "va|9117.00"}}
2023-03-05T21:45:03.982170,{"gateway_timestamp": "2023-03-05T21:45:03.982170", "device": {"id": "bd950176", "data": "va|8111.00"}}
2023-03-05T21:45:10.101966,{"gateway_timestamp": "2023-03-05T21:45:10.101966", "device": {"id": "bd950176", "data": "va|8107.00"}}
2023-03-05T21:45:16.221760,{"gateway_timestamp": "2023-03-05T21:45:16.221760", "device": {"id": "bd950176", "data": "va|8110.00"}}
2023-03-05T21:45:22.341579,{"gateway_timestamp": "2023-03-05T21:45:22.341579", "device": {"id": "bd950176", "data": "va|9115.00"}}
2023-03-05T21:45:28.461369,{"gateway_timestamp": "2023-03-05T21:45:28.461369", "device": {"id": "bd950176", "data": "va|9117.00"}}
2023-03-05T21:45:34.580788,{"gateway_timestamp": "2023-03-05T21:45:34.580788", "device": {"id": "bd950176", "data": "va|9111.00"}}
2023-03-05T21:45:40.699967,{"gateway_timestamp": "2023-03-05T21:45:40.699967", "device": {"id": "bd950176", "data": "va|8108.00"}}
2023-03-05T21:45:46.819474,{"gateway_timestamp": "2023-03-05T21:45:46.819474", "device": {"id": "bd950176", "data": "va|8107.00"}}
2023-03-05T21:45:52.938869,{"gateway_timestamp": "2023-03-05T21:45:52.938869", "device": {"id": "bd950176", "data": "va|8111.00"}}
2023-03-05T21:45:59.057302,{"gateway_timestamp": "2023-03-05T21:45:59.057302", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:46:05.176635,{"gateway_timestamp": "2023-03-05T21:46:05.176635", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:46:11.294972,{"gateway_timestamp": "2023-03-05T21:46:11.294972", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:46:17.414399,{"gateway_timestamp": "2023-03-05T21:46:17.414399", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:46:23.532771,{"gateway_timestamp": "2023-03-05T21:46:23.532771", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:46:29.652170,{"gateway_timestamp": "2023-03-05T21:46:29.652170", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:46:35.770576,{"gateway_timestamp": "2023-03-05T21:46:35.770576", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:46:41.890021,{"gateway_timestamp": "2023-03-05T21:46:41.890021", "device": {"id": "bd950176", "data": "va|9113.00"}}
2023-03-05T21:46:48.008388,{"gateway_timestamp": "2023-03-05T21:46:48.008388", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:46:54.127840,{"gateway_timestamp": "2023-03-05T21:46:54.127840", "device": {"id": "bd950176", "data": "va|8111.00"}}
2023-03-05T21:47:00.246189,{"gateway_timestamp": "2023-03-05T21:47:00.246189", "device": {"id": "bd950176", "data": "va|8111.00"}}
2023-03-05T21:47:06.365732,{"gateway_timestamp": "2023-03-05T21:47:06.365732", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:47:12.484020,{"gateway_timestamp": "2023-03-05T21:47:12.484020", "device": {"id": "bd950176", "data": "va|8111.00"}}
2023-03-05T21:47:18.603620,{"gateway_timestamp": "2023-03-05T21:47:18.603620", "device": {"id": "bd950176", "data": "va|8111.00"}}
2023-03-05T21:47:24.722018,{"gateway_timestamp": "2023-03-05T21:47:24.722018", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:47:30.841420,{"gateway_timestamp": "2023-03-05T21:47:30.841420", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:47:36.959859,{"gateway_timestamp": "2023-03-05T21:47:36.959859", "device": {"id": "bd950176", "data": "va|9113.00"}}
2023-03-05T21:47:43.079307,{"gateway_timestamp": "2023-03-05T21:47:43.079307", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:47:49.198721,{"gateway_timestamp": "2023-03-05T21:47:49.198721", "device": {"id": "bd950176", "data": "va|8110.00"}}
2023-03-05T21:47:55.318251,{"gateway_timestamp": "2023-03-05T21:47:55.318251", "device": {"id": "bd950176", "data": "va|8110.00"}}
2023-03-05T21:48:01.437812,{"gateway_timestamp": "2023-03-05T21:48:01.437812", "device": {"id": "bd950176", "data": "va|9114.00"}}
2023-03-05T21:48:07.557194,{"gateway_timestamp": "2023-03-05T21:48:07.557194", "device": {"id": "bd950176", "data": "va|8108.00"}}
2023-03-05T21:48:13.676669,{"gateway_timestamp": "2023-03-05T21:48:13.676669", "device": {"id": "bd950176", "data": "va|8106.00"}}
2023-03-05T21:48:19.795119,{"gateway_timestamp": "2023-03-05T21:48:19.795119", "device": {"id": "bd950176", "data": "va|9112.00"}}
2023-03-05T21:48:25.914666,{"gateway_timestamp": "2023-03-05T21:48:25.914666", "device": {"id": "bd950176", "data": "va|9113.00"}}
2023-03-05T21:48:32.033097,{"gateway_timestamp": "2023-03-05T21:48:32.033097", "device": {"id": "bd950176", "data": "va|9118.00"}}
2023-03-05T21:48:38.152607,{"gateway_timestamp": "2023-03-05T21:48:38.152607", "device": {"id": "bd950176", "data": "va|9113.00"}}
2023-03-05T21:48:44.271111,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:48:50.390572,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:48:56.508993,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:49:02.628524,{"id": "bd950176","data": "va|8111.00"}
2023-03-05T21:49:08.747022,{"id": "bd950176","data": "va|8111.00"}
2023-03-05T21:49:14.866598,{"id": "bd950176","data": "va|8111.00"}
2023-03-05T21:49:20.985078,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:49:27.104610,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:49:33.223034,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:49:39.342637,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:49:45.461103,{"id": "bd950176","data": "va|8112.00"}
2023-03-05T21:49:51.580719,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:49:57.699077,{"id": "bd950176","data": "va|9113.00"}
2023-03-05T21:50:03.818682,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:50:09.938241,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:50:16.057750,{"id": "bd950176","data": "va|9113.00"}
2023-03-05T21:50:22.177291,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:50:28.296848,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:50:34.416461,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:50:40.534960,{"id": "bd950176","data": "va|9111.00"}
2023-03-05T21:50:46.654462,{"id": "bd950176","data": "va|8111.00"}
2023-03-05T21:50:52.773035,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:50:58.892625,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:51:05.011215,{"id": "bd950176","data": "va|9113.00"}
2023-03-05T21:51:11.130753,{"id": "bd950176","data": "va|8111.00"}
2023-03-05T21:51:17.249363,{"id": "bd950176","data": "va|9114.00"}
2023-03-05T21:51:23.368934,{"id": "bd950176","data": "va|9115.00"}
2023-03-05T21:51:29.487474,{"id": "bd950176","data": "va|9113.00"}
2023-03-05T21:51:35.607040,{"id": "bd950176","data": "va|8110.00"}
2023-03-05T21:51:41.725640,{"id": "bd950176","data": "va|8111.00"}
2023-03-05T21:51:47.845207,{"id": "bd950176","data": "va|9113.00"}
2023-03-05T21:51:53.963734,{"id": "bd950176","data": "va|9113.00"}
2023-03-05T21:52:00.083254,{"id": "bd950176","data": "va|8110.00"}
2023-03-05T21:52:06.201867,{"id": "bd950176","data": "va|9114.00"}
2023-03-05T21:52:12.321469,{"id": "bd950176","data": "va|9113.00"}
2023-03-05T21:52:18.440100,{"id": "bd950176","data": "va|8110.00"}
2023-03-05T21:52:24.559690,{"id": "bd950176","data": "va|9114.00"}
2023-03-05T21:52:30.679200,{"id": "bd950176","data": "va|8111.00"}
2023-03-05T21:52:36.798814,{"id": "bd950176","data": "va|8110.00"}
2023-03-05T21:52:42.918453,{"id": "bd950176","data": "va|8111.00"}
