2023-03-06T07:57:43.968131,{"id": "bd950176","data": "va|8108.00"}
2023-03-06T07:57:50.087653,{"id": "bd950176","data": "va|8107.00"}
2023-03-06T07:57:56.207182,{"id": "bd950176","data": "va|8106.00"}
2023-03-06T07:58:02.326749,{"id": "bd950176","data": "va|8106.00"}
2023-03-06T07:58:08.446299,{"id": "bd950176","data": "va|8105.00"}
2023-03-06T07:58:14.566101,{"id": "bd950176","data": "va|8104.00"}
2023-03-06T07:58:20.709403,{"id": "bd950176","data": "va|10126.00"}
2023-03-06T07:58:26.831268,{"id": "bd950176","data": "va|10122.00"}
2023-03-06T07:58:32.929339,{"id": "bd950176","data": "va|8108.00"}
2023-03-06T07:58:39.048880,{"id": "bd950176","data": "va|8106.00"}
2023-03-06T07:58:45.192015,{"id": "bd950176","data": "va|10127.00"}
2023-03-06T07:58:51.290108,{"id": "bd950176","data": "va|9112.00"}
2023-03-06T07:58:57.409660,{"id": "bd950176","data": "va|8108.00"}
2023-03-06T07:59:03.529261,{"id": "bd950176","data": "va|8108.00"}
2023-03-06T07:59:09.672340,{"id": "bd950176","data": "va|10129.00"}
2023-03-06T07:59:15.770039,{"id": "bd950176","data": "va|8108.00"}
2023-03-06T07:59:21.889153,{"id": "bd950176","data": "va|8108.00"}
2023-03-06T07:59:28.032014,{"id": "bd950176","data": "va|10129.00"}
2023-03-06T07:59:34.128590,{"id": "bd950176","data": "va|8103.00"}
2023-03-06T07:59:40.247878,{"id": "bd950176","data": "va|8109.00"}
2023-03-06T07:59:46.367203,{"id": "bd950176","data": "va|8110.00"}
2023-03-06T07:59:52.510223,{"id": "bd950176","data": "va|10129.00"}
2023-03-06T07:59:58.607937,{"id": "bd950176","data": "va|8105.00"}
2023-03-06T08:00:04.727369,{"id": "bd950176","data": "va|8109.00"}
2023-03-06T08:00:10.846707,{"id": "bd950176","data": "va|8109.00"}
2023-03-06T08:00:16.966257,{"id": "bd950176","data": "va|8108.00"}
2023-03-06T08:00:23.085694,{"id": "bd950176","data": "va|8108.00"}
2023-03-06T08:00:29.205100,{"id": "bd950176","data": "va|8108.00"}
2023-03-06T08:00:35.324505,{"id": "bd950176","data": "va|8109.00"}
2023-03-06T08:00:41.442880,{"id": "bd950176","data": "va|8105.00"}
2023-03-06T08:00:47.585911,{"id": "bd950176","data": "va|10121.00"}
2023-03-06T08:00:53.706514,{"id": "bd950176","data": "va|10131.00"}
2023-03-06T08:00:59.827994,{"id": "bd950176","data": "va|10128.00"}
