timestamp,message
Timestamp,Message
13:24:54,78d7fb2f-84af-439b-86d3-48e62cd54f03
13:24:54,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,49,62,73,21,0.53,""}"
13:24:55,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,49,62,73,21,0.53,""}"
13:24:57,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,49,62,74,23,0.53,""}"
13:24:58,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,49,62,74,0,0.53,""}"
13:24:59,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,49,62,74,336,0.55,""}"
13:25:1,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,49,62,73,291,0.55,""}"
13:25:2,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,49,62,73,269,0.53,""}"
13:25:3,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,49,62,73,269,0.55,""}"
13:25:4,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,49,62,73,268,0.53,""}"
13:25:6,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,72,269,0.53,""}"
13:25:7,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,72,268,0.53,""}"
13:25:8,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,72,269,0.51,""}"
13:25:9,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,72,269,0.55,""}"
13:25:11,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,71,268,0.53,""}"
13:25:12,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,71,271,0.46,""}"
13:25:13,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,71,268,0.53,""}"
13:25:14,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,71,270,0.53,""}"
13:25:16,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,47,61,71,268,0.53,""}"
13:25:17,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,46,60,71,269,0.53,""}"
